,기준년월,키워드,언급량,월별순위
0,202501,K-Culture 관련 거리,881,6
1,202501,K-공연관람,39519,1
2,202501,K-굿즈,128,8
3,202501,K-댄스 배우기,4135,5
4,202501,K-덕질,8211,2
5,202501,K-드라마/영화 관련 대상지,6566,3
6,202501,K-예능 대상지,101,9
7,202501,K-팝업 스토어,85,10
8,202501,엔터테인먼트 방문(HYBE_ SM_ JYP),5433,4
9,202501,촬영지,520,7
10,202502,K-Culture 관련 거리,366,7
11,202502,K-공연관람,48133,1
12,202502,K-굿즈,256,9
13,202502,K-댄스 배우기,3898,4
14,202502,K-덕질,6298,3
15,202502,K-드라마/영화 관련 대상지,6478,2
16,202502,K-예능 대상지,315,8
17,202502,K-팝업 스토어,59,10
18,202502,엔터테인먼트 방문(HYBE_ SM_ JYP),945,5
19,202502,촬영지,613,6
20,202503,K-Culture 관련 거리,579,6
21,202503,K-공연관람,89328,1
22,202503,K-굿즈,313,8
23,202503,K-댄스 배우기,4129,4
24,202503,K-덕질,10489,2
25,202503,K-드라마/영화 관련 대상지,5610,3
26,202503,K-예능 대상지,72,10
27,202503,K-팝업 스토어,265,9
28,202503,엔터테인먼트 방문(HYBE_ SM_ JYP),828,5
29,202503,촬영지,563,7
30,202504,K-Culture 관련 거리,1332,5
31,202504,K-공연관람,71445,1
32,202504,K-굿즈,137,9
33,202504,K-댄스 배우기,2418,4
34,202504,K-덕질,8669,2
35,202504,K-드라마/영화 관련 대상지,8276,3
36,202504,K-예능 대상지,96,10
37,202504,K-팝업 스토어,225,8
38,202504,엔터테인먼트 방문(HYBE_ SM_ JYP),1229,6
39,202504,촬영지,618,7
40,202505,K-Culture 관련 거리,709,6
41,202505,K-공연관람,108400,1
42,202505,K-굿즈,189,8
43,202505,K-댄스 배우기,2475,5
44,202505,K-덕질,11453,2
45,202505,K-드라마/영화 관련 대상지,6714,3
46,202505,K-예능 대상지,103,9
47,202505,K-팝업 스토어,53,10
48,202505,엔터테인먼트 방문(HYBE_ SM_ JYP),5390,4
49,202505,촬영지,476,7
50,202506,K-Culture 관련 거리,783,6
51,202506,K-공연관람,114556,1
52,202506,K-굿즈,183,10
53,202506,K-댄스 배우기,2859,5
54,202506,K-덕질,10580,2
55,202506,K-드라마/영화 관련 대상지,5639,4
56,202506,K-예능 대상지,193,9
57,202506,K-팝업 스토어,223,8
58,202506,엔터테인먼트 방문(HYBE_ SM_ JYP),5705,3
59,202506,촬영지,422,7
60,202507,K-Culture 관련 거리,671,6
61,202507,K-공연관람,74666,1
62,202507,K-굿즈,299,8
63,202507,K-댄스 배우기,4032,4
64,202507,K-덕질,9476,2
65,202507,K-드라마/영화 관련 대상지,6192,3
66,202507,K-예능 대상지,135,9
67,202507,K-팝업 스토어,81,10
68,202507,엔터테인먼트 방문(HYBE_ SM_ JYP),1004,5
69,202507,촬영지,479,7
70,202508,K-Culture 관련 거리,475,7
71,202508,K-공연관람,68639,1
72,202508,K-굿즈,176,10
73,202508,K-댄스 배우기,5314,4
74,202508,K-덕질,9357,2
75,202508,K-드라마/영화 관련 대상지,8308,3
76,202508,K-예능 대상지,298,9
77,202508,K-팝업 스토어,384,8
78,202508,엔터테인먼트 방문(HYBE_ SM_ JYP),1082,5
79,202508,촬영지,668,6
80,202509,K-Culture 관련 거리,496,7
81,202509,K-공연관람,97694,1
82,202509,K-굿즈,313,8
83,202509,K-댄스 배우기,5906,4
84,202509,K-덕질,12356,2
85,202509,K-드라마/영화 관련 대상지,7107,3
86,202509,K-예능 대상지,272,9
87,202509,K-팝업 스토어,201,10
88,202509,엔터테인먼트 방문(HYBE_ SM_ JYP),986,5
89,202509,촬영지,540,6
90,202510,K-Culture 관련 거리,888,6
91,202510,K-공연관람,61760,1
92,202510,K-굿즈,149,10
93,202510,K-댄스 배우기,2366,5
94,202510,K-덕질,8341,2
95,202510,K-드라마/영화 관련 대상지,7084,3
96,202510,K-예능 대상지,214,8
97,202510,K-팝업 스토어,208,9
98,202510,엔터테인먼트 방문(HYBE_ SM_ JYP),3033,4
99,202510,촬영지,422,7
100,202511,K-Culture 관련 거리,592,7
101,202511,K-공연관람,47946,1
102,202511,K-굿즈,274,9
103,202511,K-댄스 배우기,2536,4
104,202511,K-덕질,7712,2
105,202511,K-드라마/영화 관련 대상지,5779,3
106,202511,K-예능 대상지,1609,6
107,202511,K-팝업 스토어,255,10
108,202511,엔터테인먼트 방문(HYBE_ SM_ JYP),2277,5
109,202511,촬영지,342,8
110,202512,K-Culture 관련 거리,495,6
111,202512,K-공연관람,35748,1
112,202512,K-굿즈,183,9
113,202512,K-댄스 배우기,4549,4
114,202512,K-덕질,8227,2
115,202512,K-드라마/영화 관련 대상지,6161,3
116,202512,K-예능 대상지,230,8
117,202512,K-팝업 스토어,48,10
118,202512,엔터테인먼트 방문(HYBE_ SM_ JYP),886,5
119,202512,촬영지,454,7
