국가,언급량,인게이지먼트,잠재적 노출량
일본,2581487,31263620,21052270221
필리핀,307587,2095946,24910856209
미국,842913,15270347,5396993551
캐나다,87906,1065355,1236779504
독일,204874,2167619,960306199
프랑스,228548,4691714,2418021775
영국,136394,1755088,2091379529
러시아,91535,1903726,216228818
아랍에미리트,59509,679416,586057555
인도,185129,8893531,2746259593
튀르키예,131811,3265480,1872356848
중국,481134,1237556,59615849711
오스트레일리아,86506,395834,190100692
홍콩,37521,254810,159697840
대만,149539,1118262,1131424330
싱가포르,36197,772121,921581195
태국,1480029,6230487,3703600107
말레이시아,183607,1934215,1941703021
베트남,290175,6159955,8306556049
인도네시아,568440,48501256,17483149083
